timestamp,trace_id,span_id,parent_span_id,transaction_id,region,service,operation,duration_ms,status,circuit_id
2025-12-01T01:10:01.774498Z,trc557067cbbe8,sp7d1c6375281d,,TX-20251201011001-0000000,central,api,POST /fiber/txn,292.2,ok,
2025-12-01T01:10:01.774498Z,trc557067cbbe8,sp8fb1eb6a9eff,sp7d1c6375281d,TX-20251201011001-0000000,central,orchestrator,coordinate,116.88,ok,
2025-12-01T01:10:01.774498Z,trc557067cbbe8,sp75eb56708a57,sp8fb1eb6a9eff,TX-20251201011001-0000000,central,worker,apply,146.1,ok,
2025-12-01T02:03:30.606959Z,tr70c415ed7e70,sp6c72dba2a429,,TX-20251201020330-0000001,central,api,POST /fiber/txn,288.49,ok,
2025-12-01T02:03:30.606959Z,tr70c415ed7e70,sp95db506fef51,sp6c72dba2a429,TX-20251201020330-0000001,central,orchestrator,coordinate,115.4,ok,
2025-12-01T02:03:30.606959Z,tr70c415ed7e70,spae7a370bb86d,sp95db506fef51,TX-20251201020330-0000001,central,worker,apply,144.25,ok,
2025-12-01T02:45:05.784306Z,trf721245568a8,sp091056569659,,TX-20251201024505-0000002,central,api,POST /fiber/txn,262.11,ok,
2025-12-01T02:45:05.784306Z,trf721245568a8,sp03bf6e304cf9,sp091056569659,TX-20251201024505-0000002,central,orchestrator,coordinate,104.84,ok,
2025-12-01T02:45:05.784306Z,trf721245568a8,spebcd0804fb3d,sp03bf6e304cf9,TX-20251201024505-0000002,central,worker,apply,131.06,ok,
2025-12-01T03:22:09.536686Z,tr98fa36a1009a,sp5b48ca9bbae2,,TX-20251201032209-0000003,west,api,POST /fiber/txn,259.09,ok,
2025-12-01T03:22:09.536686Z,tr98fa36a1009a,sp5c6abb49aac1,sp5b48ca9bbae2,TX-20251201032209-0000003,west,orchestrator,coordinate,103.63,ok,
2025-12-01T03:22:09.536686Z,tr98fa36a1009a,spa2385f295e79,sp5c6abb49aac1,TX-20251201032209-0000003,west,worker,apply,129.54,ok,
2025-12-01T03:54:48.495802Z,tr2009bff43a25,spec0bd40a2897,,TX-20251201035448-0000004,central,api,POST /fiber/txn,361.13,ok,
2025-12-01T03:54:48.495802Z,tr2009bff43a25,sp9d8c219b9b23,spec0bd40a2897,TX-20251201035448-0000004,central,orchestrator,coordinate,144.45,ok,
2025-12-01T03:54:48.495802Z,tr2009bff43a25,sp13424455b7c0,sp9d8c219b9b23,TX-20251201035448-0000004,central,worker,apply,180.56,ok,
2025-12-01T03:54:48.495802Z,tr2009bff43a25,sp49eea5809dd6,sp9d8c219b9b23,TX-20251201035448-0000004,central,inventory-client,HTTP POST,430.79,ok,CKT-CEN-EAS-003
2025-12-01T04:23:20.320149Z,trd01b44488cc5,sp7882c580d1e4,,TX-20251201042320-0000005,central,api,POST /fiber/txn,375.23,error,
2025-12-01T04:23:20.320149Z,trd01b44488cc5,sp6d510034c962,sp7882c580d1e4,TX-20251201042320-0000005,central,orchestrator,coordinate,150.09,ok,
2025-12-01T04:23:20.320149Z,trd01b44488cc5,spe25925c0a043,sp6d510034c962,TX-20251201042320-0000005,central,worker,apply,187.62,error,
2025-12-01T04:23:20.320149Z,trd01b44488cc5,sp208b89b35e3d,sp6d510034c962,TX-20251201042320-0000005,central,inventory-client,HTTP POST,558.06,error,CKT-CEN-EAS-003
2025-12-01T04:50:42.076558Z,trc548d61fcbc5,sp61d460793140,,TX-20251201045042-0000006,east,api,POST /fiber/txn,503.04,ok,
2025-12-01T04:50:42.076558Z,trc548d61fcbc5,spb2b65d322bf5,sp61d460793140,TX-20251201045042-0000006,east,orchestrator,coordinate,201.22,ok,
2025-12-01T04:50:42.076558Z,trc548d61fcbc5,sp45fad3549e31,spb2b65d322bf5,TX-20251201045042-0000006,east,worker,apply,251.52,ok,
2025-12-01T05:16:44.974609Z,tr007865946898,sp0ec15b16c388,,TX-20251201051644-0000007,central,api,POST /fiber/txn,410.99,ok,
2025-12-01T05:16:44.974609Z,tr007865946898,spc6c6a7356fe6,sp0ec15b16c388,TX-20251201051644-0000007,central,orchestrator,coordinate,164.4,ok,
2025-12-01T05:16:44.974609Z,tr007865946898,sp53124dcb3cfd,spc6c6a7356fe6,TX-20251201051644-0000007,central,worker,apply,205.5,ok,
2025-12-01T05:16:44.974609Z,tr007865946898,sp1748fe3a9067,spc6c6a7356fe6,TX-20251201051644-0000007,central,inventory-client,HTTP POST,622.71,ok,CKT-CEN-EAS-003
2025-12-01T05:40:26.973129Z,trf3cc6086ed95,sp7899e8f48467,,TX-20251201054026-0000008,central,api,POST /fiber/txn,298.91,ok,
2025-12-01T05:40:26.973129Z,trf3cc6086ed95,sp6a003ee5bf39,sp7899e8f48467,TX-20251201054026-0000008,central,orchestrator,coordinate,119.56,ok,
2025-12-01T05:40:26.973129Z,trf3cc6086ed95,sp4dcdfbabe9b0,sp6a003ee5bf39,TX-20251201054026-0000008,central,worker,apply,149.46,ok,
2025-12-01T06:03:15.874995Z,tr94e8f5e183d2,spb60aa10bdef0,,TX-20251201060315-0000009,east,api,POST /fiber/txn,297.57,error,
2025-12-01T06:03:15.874995Z,tr94e8f5e183d2,sped8c40ebcd4b,spb60aa10bdef0,TX-20251201060315-0000009,east,orchestrator,coordinate,119.03,ok,
2025-12-01T06:03:15.874995Z,tr94e8f5e183d2,spa40b61897385,sped8c40ebcd4b,TX-20251201060315-0000009,east,worker,apply,148.78,error,
2025-12-01T06:26:23.982938Z,tra7870cad7862,sp4f5eafca5d05,,TX-20251201062623-0000010,east,api,POST /fiber/txn,363.83,ok,
2025-12-01T06:26:23.982938Z,tra7870cad7862,sp372bc129ee73,sp4f5eafca5d05,TX-20251201062623-0000010,east,orchestrator,coordinate,145.53,ok,
2025-12-01T06:26:23.982938Z,tra7870cad7862,sp8eb8c1593689,sp372bc129ee73,TX-20251201062623-0000010,east,worker,apply,181.91,ok,
2025-12-01T06:48:40.997963Z,trea83537c7fec,sp65d934d55cec,,TX-20251201064840-0000011,east,api,POST /fiber/txn,333.03,ok,
2025-12-01T06:48:40.997963Z,trea83537c7fec,sp4f40a041b69c,sp65d934d55cec,TX-20251201064840-0000011,east,orchestrator,coordinate,133.21,ok,
2025-12-01T06:48:40.997963Z,trea83537c7fec,spe58929309539,sp4f40a041b69c,TX-20251201064840-0000011,east,worker,apply,166.51,ok,
2025-12-01T07:09:39.888673Z,tr2e90114183d2,sp95399e408352,,TX-20251201070939-0000012,central,api,POST /fiber/txn,419.94,ok,
2025-12-01T07:09:39.888673Z,tr2e90114183d2,spded510668c9c,sp95399e408352,TX-20251201070939-0000012,central,orchestrator,coordinate,167.98,ok,
2025-12-01T07:09:39.888673Z,tr2e90114183d2,sp815019f2442a,spded510668c9c,TX-20251201070939-0000012,central,worker,apply,209.97,ok,
2025-12-01T07:09:39.888673Z,tr2e90114183d2,spb8a8cc396d9a,spded510668c9c,TX-20251201070939-0000012,central,inventory-client,HTTP POST,433.89,ok,CKT-CEN-EAS-003
2025-12-01T07:30:42.812787Z,tr853416d112fb,sp8d8a851ea68c,,TX-20251201073042-0000013,east,api,POST /fiber/txn,259.02,ok,
2025-12-01T07:30:42.812787Z,tr853416d112fb,sp681dbd86d7ca,sp8d8a851ea68c,TX-20251201073042-0000013,east,orchestrator,coordinate,103.61,ok,
2025-12-01T07:30:42.812787Z,tr853416d112fb,spf17d32f25609,sp681dbd86d7ca,TX-20251201073042-0000013,east,worker,apply,129.51,ok,
2025-12-01T07:51:19.806430Z,trf34e0956bca3,sp15bb12fe8f83,,TX-20251201075119-0000014,central,api,POST /fiber/txn,238.15,ok,
2025-12-01T07:51:19.806430Z,trf34e0956bca3,sp0d5dad2ddec1,sp15bb12fe8f83,TX-20251201075119-0000014,central,orchestrator,coordinate,95.26,ok,
2025-12-01T07:51:19.806430Z,trf34e0956bca3,sp97833503347c,sp0d5dad2ddec1,TX-20251201075119-0000014,central,worker,apply,119.08,ok,
2025-12-01T08:12:48.082061Z,tr87abbc9ea504,spa239b0ae3a7e,,TX-20251201081248-0000015,central,api,POST /fiber/txn,248.77,ok,
2025-12-01T08:12:48.082061Z,tr87abbc9ea504,sp71496af29c35,spa239b0ae3a7e,TX-20251201081248-0000015,central,orchestrator,coordinate,99.51,ok,
2025-12-01T08:12:48.082061Z,tr87abbc9ea504,spcd3268a9ffad,sp71496af29c35,TX-20251201081248-0000015,central,worker,apply,124.38,ok,
2025-12-01T08:32:17.025144Z,trdeb6f28d60cf,spff096a209048,,TX-20251201083217-0000016,west,api,POST /fiber/txn,334.64,error,
