timestamp,region,cluster,service,host,level,transaction_id,trace_id,span_id,customer_id,transaction_type,event,dependency_region,dependency_service,dependency_latency_ms,end_to_end_latency_ms,http_status,error_code,circuit_id,message
2025-12-01T01:10:02.151498Z,central,fibersqs-prod-central,api,fibersqs-prod-central-host31,INFO,TX-20251201011001-0000000,trc557067cbbe8,sp8b4c0bf8e704,CUST-92518497,update_billing,received,,,,,,,,request received
2025-12-01T01:10:03.139538Z,central,fibersqs-prod-central,api,fibersqs-prod-central-host31,INFO,TX-20251201011001-0000000,trc557067cbbe8,spb5a6162ac201,CUST-92518497,update_billing,queued,,,,,,,,queued for orchestrator
2025-12-01T01:10:03.011152Z,central,fibersqs-prod-central,orchestrator,fibersqs-prod-central-host31,INFO,TX-20251201011001-0000000,trc557067cbbe8,sp72de3d4a5152,CUST-92518497,update_billing,orchestrated,,,,,,,,routing transaction
2025-12-01T01:10:03.541671Z,central,fibersqs-prod-central,worker,fibersqs-prod-central-host31,INFO,TX-20251201011001-0000000,trc557067cbbe8,spdffc0268bbc9,CUST-92518497,update_billing,worker_progress,,,,,,,,worker progressing
2025-12-01T01:10:02.443700Z,central,fibersqs-prod-central,api,fibersqs-prod-central-host31,INFO,TX-20251201011001-0000000,trc557067cbbe8,sp387abb50cd10,CUST-92518497,update_billing,completed,,,,292.2,200,,,success
2025-12-01T02:03:30.166959Z,central,fibersqs-prod-central,api,fibersqs-prod-central-host01,INFO,TX-20251201020330-0000001,tr70c415ed7e70,sp173b40a837ff,CUST-12794159,diagnostic_ping,received,,,,,,,,request received
2025-12-01T02:03:30.803963Z,central,fibersqs-prod-central,api,fibersqs-prod-central-host01,INFO,TX-20251201020330-0000001,tr70c415ed7e70,sp8e5e918ae698,CUST-12794159,diagnostic_ping,queued,,,,,,,,queued for orchestrator
2025-12-01T02:03:30.235476Z,central,fibersqs-prod-central,orchestrator,fibersqs-prod-central-host01,INFO,TX-20251201020330-0000001,tr70c415ed7e70,sp0048d476df18,CUST-12794159,diagnostic_ping,orchestrated,,,,,,,,routing transaction
2025-12-01T02:03:31.125910Z,central,fibersqs-prod-central,worker,fibersqs-prod-central-host01,INFO,TX-20251201020330-0000001,tr70c415ed7e70,spdd2c6bbc5040,CUST-12794159,diagnostic_ping,worker_progress,,,,,,,,worker progressing
2025-12-01T02:03:30.455454Z,central,fibersqs-prod-central,api,fibersqs-prod-central-host01,INFO,TX-20251201020330-0000001,tr70c415ed7e70,sp12d6c3b698f3,CUST-12794159,diagnostic_ping,completed,,,,288.49,200,,,success
